Date and Time,End Time,Duration (min),Activity,Quantity,Extra data,Text,Notes,Caregiver
12/14/2020 2:21,12/14/2020 2:42,17,Nursing,,,"Baby B nursed (10m left, 6m right)",,Mom
12/13/2020 23:22,12/14/2020 2:21,178,Sleep,,,Baby B slept (2h58m),,Mom
12/13/2020 23:13,,,Diaper,,Wet,Baby B had a wet diaper (medium),,Dad
12/13/2020 22:55,12/13/2020 23:21,20,Nursing,,,"Baby B nursed (9m right, 11m left)",,Mom
12/13/2020 19:07,12/13/2020 22:54,227,Sleep,,,Baby B slept (3h47m),,Mom
12/13/2020 19:43,,,Pumping,5,oz,5 oz Expressed,,Mom
12/13/2020 18:53,,,Diaper,,Poopy+Wet,Baby B had a poopy and wet diaper (medium),,Mom
12/13/2020 18:48,,,Bottle,4.5,Milk,Baby B drank 4.5 oz of milk,,Mom
12/13/2020 18:31,,,Weight,11.22,lbs,Baby B's weight: 11.22 lbs,,Dad
12/13/2020 16:53,,,Diaper,,Wet,Baby B had a wet diaper (medium),,Mom
12/13/2020 16:27,12/13/2020 16:45,16,Nursing,,,"Baby B nursed (14m right, 1m left)",,Mom
12/13/2020 15:53,12/13/2020 16:21,29,Sleep,,,Baby B slept (29m),,Mom
12/13/2020 15:39,,,Diaper,,Poopy,Baby B had a poopy diaper (small),,Mom
12/13/2020 15:07,,,Diaper,,Poopy+Wet,Baby B had a poopy and wet diaper (medium),,Mom
12/13/2020 13:58,,,Diaper,,Poopy+Wet,Baby B had a poopy and wet diaper (medium),,Mom
12/13/2020 13:50,,,Medicine,,(null),Tylenol,,Mom
12/13/2020 13:20,12/13/2020 13:43,21,Nursing,,,"Baby B nursed (13m left, 8m right)",,Mom
12/13/2020 11:58,12/13/2020 13:19,81,Sleep,,,Baby B slept (1h21m),,Mom
12/13/2020 11:31,,,Diaper,,Poopy+Wet,Baby B had a poopy and wet diaper (medium),,Mom
12/13/2020 10:49,,,Diaper,,Poopy+Wet,Baby B had a poopy and wet diaper (medium),,Mom
12/13/2020 10:18,12/13/2020 10:36,13,Nursing,,,"Baby B nursed (9m right, 4m left)",,Mom
12/13/2020 8:51,12/13/2020 10:15,84,Sleep,,,Baby B slept (1h24m),,Mom
12/13/2020 8:04,,,Medicine,,(null),Tylenol,,Dad
12/13/2020 7:55,,,Diaper,,Poopy+Wet,Baby B had a poopy and wet diaper (medium),,Dad
12/13/2020 7:15,12/13/2020 7:38,18,Nursing,,,"Baby B nursed (12m left, 6m right)",,Mom
12/13/2020 5:21,12/13/2020 7:15,113,Sleep,,,Baby B slept (1h53m),,Mom
12/13/2020 5:17,,,Diaper,,Wet,Baby B had a wet diaper (medium),,Dad
12/13/2020 4:59,12/13/2020 5:20,17,Nursing,,,"Baby B nursed (11m right, 6m left)",,Mom
12/13/2020 3:18,12/13/2020 4:59,101,Sleep,,,Baby B slept (1h41m),,Mom
12/13/2020 3:06,,,Diaper,,Wet,Baby B had a wet diaper (medium),,Dad
12/13/2020 2:47,12/13/2020 3:15,23,Nursing,,,"Baby B nursed (12m left, 11m right)",,Mom
12/12/2020 22:45,12/13/2020 2:47,242,Sleep,,,Baby B slept (4h02m),,Mom
12/12/2020 22:45,,,Diaper,,Wet,Baby B had a wet diaper (medium),,Dad
12/12/2020 22:00,12/12/2020 22:24,19,Nursing,,,"Baby B nursed (9m right, 10m left)",,Mom
12/12/2020 19:52,12/12/2020 22:00,128,Sleep,,,Baby B slept (2h08m),,Mom
12/12/2020 19:40,,,Pumping,5,oz,5 oz Expressed,,Mom
12/12/2020 19:23,,,Diaper,,Poopy,Baby B had a poopy diaper (medium),,Mom
12/12/2020 19:12,,,Diaper,,Wet,Baby B had a wet diaper (medium),,Mom
12/12/2020 19:10,,,Pumping,5,oz,5 oz Expressed,,Mom
12/12/2020 19:05,,,Bottle,4.5,Milk,Baby B drank 4.5 oz of milk,,Mom
12/12/2020 19:05,,,Medicine,,(null),Tylenol,,Mom
12/12/2020 18:19,,,Diaper,,Poopy+Wet,Baby B had a poopy and wet diaper (medium),,Dad
12/12/2020 17:17,12/12/2020 17:49,32,Sleep,,,Baby B slept (32m),,Dad
12/12/2020 16:30,,,Diaper,,Wet,Baby B had a wet diaper (medium),,Dad
12/12/2020 16:02,12/12/2020 16:17,14,Nursing,,,"Baby B nursed (8m right, 5m left)",,Mom
12/12/2020 14:50,12/12/2020 15:27,37,Sleep,,,Baby B slept (37m),,Mom
12/12/2020 13:20,,,Medicine,,(null),Tylenol,,Mom
12/12/2020 13:20,,,Diaper,,Poopy+Wet,Baby B had a poopy and wet diaper (medium),,Mom
12/12/2020 13:02,12/12/2020 13:20,16,Nursing,,,"Baby B nursed (14m left, 2m right)",,Mom
12/12/2020 11:45,12/12/2020 12:53,66,Sleep,,,Baby B slept (1h06m),,Dad
12/12/2020 11:32,,,Diaper,,Poopy,Baby B had a poopy diaper (medium),,Mom
12/12/2020 10:37,,,Diaper,,Poopy+Wet,Baby B had a poopy and wet diaper (medium),,Dad
12/12/2020 10:02,12/12/2020 10:21,16,Nursing,,,"Baby B nursed (13m right, 3m left)",,Mom
12/12/2020 8:49,12/12/2020 9:57,68,Sleep,,,Baby B slept (1h08m),,Mom
12/12/2020 8:34,,,Medicine,,(null),Tylenol,,Mom
12/12/2020 7:37,,,Diaper,,Poopy+Wet,Baby B had a poopy and wet diaper (medium),,Mom
12/12/2020 7:09,12/12/2020 7:24,13,Nursing,,,"Baby B nursed (12m left, 1m right)",,Mom
12/12/2020 4:57,12/12/2020 7:06,129,Sleep,,,Baby B slept (2h09m),,Mom
12/12/2020 4:26,12/12/2020 4:56,25,Nursing,,,"Baby B nursed (14m right, 11m left)",,Mom
12/12/2020 2:18,12/12/2020 4:25,127,Sleep,,,Baby B slept (2h07m),,Mom
12/12/2020 2:09,,,Medicine,,(null),Tylenol,,Dad
12/12/2020 2:09,,,Diaper,,Wet,Baby B had a wet diaper (medium),,Dad
12/12/2020 1:46,12/12/2020 2:16,25,Nursing,,,"Baby B nursed (15m left, 10m right)",,Mom
12/11/2020 23:02,12/12/2020 1:46,163,Sleep,,,Baby B slept (2h43m),,Mom
12/11/2020 22:50,,,Diaper,,Wet,Baby B had a wet diaper (medium),,Dad
12/11/2020 22:29,12/11/2020 23:01,27,Nursing,,,"Baby B nursed (15m right, 13m left)",,Mom
12/11/2020 19:45,12/11/2020 22:27,162,Sleep,,,Baby B slept (2h42m),,Mom
12/11/2020 19:30,,,Pumping,4.75,oz,4.75 oz Expressed,,Mom
12/11/2020 19:15,,,Bottle,4,Milk,Baby B drank 4 oz of milk,,Mom
12/11/2020 19:05,,,Medicine,,(null),Tylenol,,Mom
12/11/2020 18:59,,,Weight,11.06,lbs,Baby B's weight: 11.06 lbs,,Dad
12/11/2020 18:58,,,Diaper,,Poopy+Wet,Baby B had a poopy and wet diaper (medium),,Mom
12/11/2020 17:35,12/11/2020 17:50,15,Sleep,,,Baby B slept (15m),,Dad
12/11/2020 16:40,,,Diaper,,Poopy+Wet,Baby B had a poopy and wet diaper (medium),,Mom
12/11/2020 16:05,12/11/2020 16:26,19,Nursing,,,"Baby B nursed (12m left, 7m right)",,Mom
12/11/2020 15:02,12/11/2020 15:41,40,Sleep,,,Baby B slept (40m),,Mom
12/11/2020 13:49,,,Medicine,,(null),Tylenol,,Mom
12/11/2020 13:49,,,Diaper,,Wet,Baby B had a wet diaper (medium),,Mom
12/11/2020 13:13,12/11/2020 13:37,21,Nursing,,,"Baby B nursed (14m right, 7m left)",,Mom
12/11/2020 11:59,12/11/2020 13:11,72,Sleep,,,Baby B slept (1h12m),,Mom
12/11/2020 10:43,,,Diaper,,Wet,Baby B had a wet diaper (medium),,Dad
12/11/2020 10:09,12/11/2020 10:29,17,Nursing,,,"Baby B nursed (8m left, 9m right)",,Mom
12/11/2020 8:55,12/11/2020 10:06,71,Sleep,,,Baby B slept (1h11m),,Mom
12/11/2020 8:44,,,Diaper,,Poopy+Wet,Baby B had a poopy and wet diaper (medium),,Mom
12/11/2020 7:48,,,Diaper,,Poopy+Wet,Baby B had a poopy and wet diaper (medium),,Mom
12/11/2020 7:44,,,Medicine,,(null),Tylenol,,Mom
12/11/2020 7:14,12/11/2020 7:34,18,Nursing,,,"Baby B nursed (11m right, 7m left)",,Mom
12/11/2020 5:30,12/11/2020 7:13,103,Sleep,,,Baby B slept (1h43m),,Mom
12/11/2020 5:20,,,Diaper,,Wet,"Baby B had a wet diaper (open-air accident, medium)",,Dad
12/11/2020 5:20,,,Diaper,,Wet,Baby B had a wet diaper (medium),,Dad
12/11/2020 4:57,12/11/2020 5:28,21,Nursing,,,"Baby B nursed (11m left, 10m right)",,Mom
12/11/2020 3:02,12/11/2020 4:57,115,Sleep,,,Baby B slept (1h55m),,Mom
12/11/2020 2:48,,,Diaper,,Wet,Baby B had a wet diaper (medium),,Dad
12/11/2020 2:28,12/11/2020 3:01,28,Nursing,,,"Baby B nursed (14m left, 14m right)",,Mom
12/10/2020 23:40,12/11/2020 2:28,168,Sleep,,,Baby B slept (2h48m),,Mom
12/10/2020 23:29,,,Medicine,,(null),Tylenol,,Dad
12/10/2020 23:28,,,Diaper,,Wet,Baby B had a wet diaper (medium),,Dad
12/10/2020 23:03,12/10/2020 23:37,28,Nursing,,,"Baby B nursed (16m right, 12m left)",,Mom
12/10/2020 20:18,12/10/2020 23:01,163,Sleep,,,Baby B slept (2h43m),,Mom
12/10/2020 19:20,,,Pumping,4.5,oz,4.5 oz Expressed,,Mom
12/10/2020 19:11,,,Diaper,,Poopy+Wet,Baby B had a poopy and wet diaper (medium),,Mom
12/10/2020 19:00,,,Bottle,3.5,Milk,Baby B drank 3.5 oz of milk,,Mom
12/10/2020 18:55,,,Diaper,,Wet,Baby B had a wet diaper (large),,Mom
12/10/2020 17:55,,,Medicine,,(null),Tylenol,,Mom
12/10/2020 17:21,12/10/2020 17:52,31,Sleep,,,Baby B slept (31m),,Mom
12/10/2020 16:27,,,Diaper,,Poopy+Wet,Baby B had a poopy and wet diaper (medium),,Mom
12/10/2020 15:53,12/10/2020 16:13,17,Nursing,,,"Baby B nursed (10m right, 7m left)",,Mom
12/10/2020 14:54,12/10/2020 15:39,45,Sleep,,,Baby B slept (45m),,Dad
12/10/2020 13:46,,,Diaper,,Poopy+Wet,Baby B had a poopy and wet diaper (medium),,Mom
12/10/2020 13:40,,,Medicine,,(null),Tylenol,,Mom
12/10/2020 13:01,12/10/2020 13:25,23,Nursing,,,"Baby B nursed (15m left, 9m right)",,Mom
12/10/2020 11:15,12/10/2020 12:58,103,Sleep,,,Baby B slept (1h43m),,Mom
12/10/2020 10:29,,,Diaper,,Poopy+Wet,Baby B had a poopy and wet diaper (medium),,Mom
12/10/2020 9:58,12/10/2020 10:14,14,Nursing,,,"Baby B nursed (11m right, 3m left)",,Mom
12/10/2020 9:33,,,Diaper,,Wet,Baby B had a wet diaper (medium),,Dad
12/10/2020 8:50,12/10/2020 9:29,39,Sleep,,,Baby B slept (39m),,Dad
12/10/2020 8:35,,,Medicine,,(null),Tylenol,,Mom
12/10/2020 7:47,,,Diaper,,Poopy+Wet,Baby B had a poopy and wet diaper (medium),,Mom
12/10/2020 7:05,12/10/2020 7:29,20,Nursing,,,"Baby B nursed (14m left, 6m right)",,Mom
12/10/2020 4:44,12/10/2020 7:04,140,Sleep,,,Baby B slept (2h20m),,Mom
12/10/2020 4:26,,,Medicine,,(null),Tylenol,,Dad
12/10/2020 4:26,,,Diaper,,Wet,Baby B had a wet diaper (medium),,Dad
12/10/2020 4:09,12/10/2020 4:36,22,Nursing,,,"Baby B nursed (11m right, 11m left)",,Mom
12/10/2020 1:53,12/10/2020 4:09,136,Sleep,,,Baby B slept (2h16m),,Mom
12/10/2020 1:45,,,Diaper,,Wet,Baby B had a wet diaper (medium),,Dad
12/10/2020 1:27,12/10/2020 1:51,19,Nursing,,,"Baby B nursed (12m left, 7m right)",,Mom
12/9/2020 23:22,12/10/2020 1:27,125,Sleep,,,Baby B slept (2h05m),,Mom
12/9/2020 23:13,,,Medicine,,(null),Tylenol,,Dad
12/9/2020 23:12,,,Diaper,,Wet,Baby B had a wet diaper (medium),,Dad
12/9/2020 22:31,12/9/2020 23:16,45,Nursing,,,"Baby B nursed (33m right, 12m left)",,Mom
12/9/2020 19:35,12/9/2020 22:30,175,Sleep,,,Baby B slept (2h55m),,Mom
12/9/2020 19:20,,,Pumping,4,oz,4 oz Expressed,,Mom
12/9/2020 19:00,,,Bottle,4.2,Milk,Baby B drank 4.25 oz of milk,,Mom
12/9/2020 18:42,,,Diaper,,Wet,Baby B had a wet diaper (medium),,Dad
12/9/2020 18:42,,,Diaper,,Poopy+Wet,Baby B had a poopy and wet diaper (medium),,Dad
12/9/2020 18:05,,,Medicine,,(null),Tylenol,,Mom
12/9/2020 17:20,12/9/2020 17:49,29,Sleep,,,Baby B slept (29m),,Mom
12/9/2020 16:58,,,Diaper,,Poopy+Wet,Baby B had a poopy and wet diaper (medium),,Dad
12/9/2020 15:56,12/9/2020 16:22,25,Nursing,,,"Baby B nursed (16m right, 9m left)",,Mom
12/9/2020 14:36,12/9/2020 15:30,53,Sleep,,,Baby B slept (53m),,Mom
12/9/2020 14:20,,,Diaper,,Poopy+Wet,Baby B had a poopy and wet diaper (medium),,Dad
12/9/2020 13:01,12/9/2020 13:21,18,Nursing,,,"Baby B nursed (10m left, 8m right)",,Mom
12/9/2020 13:01,,,Medicine,,(null),Tylenol,,Mom
12/9/2020 11:43,12/9/2020 12:55,72,Sleep,,,Baby B slept (1h12m),,Mom
12/9/2020 11:31,,,Diaper,,Wet,Baby B had a wet diaper (medium),,Dad
12/9/2020 10:08,12/9/2020 10:30,20,Nursing,,,"Baby B nursed (14m right, 7m left)",,Mom
12/9/2020 9:14,12/9/2020 10:06,51,Sleep,,,Baby B slept (51m),,Mom
12/9/2020 8:45,,,Diaper,,Poopy+Wet,Baby B had a poopy and wet diaper (medium),,Mom
12/9/2020 8:40,,,Medicine,,(null),Tylenol,,Mom
12/9/2020 7:54,,,Diaper,,Poopy+Wet,Baby B had a poopy and wet diaper (medium),,Dad
12/9/2020 7:16,12/9/2020 7:34,14,Nursing,,,"Baby B nursed (6m left, 8m right)",,Mom
12/9/2020 4:51,12/9/2020 7:15,144,Sleep,,,Baby B slept (2h24m),,Mom
12/9/2020 4:41,,,Diaper,,Wet,Baby B had a wet diaper (medium),,Dad
12/9/2020 4:40,,,Medicine,,(null),Tylenol,,Mom
12/9/2020 4:24,12/9/2020 4:50,20,Nursing,,,"Baby B nursed (11m right, 9m left)",,Mom
12/9/2020 2:23,12/9/2020 4:23,120,Sleep,,,Baby B slept (2h),,Mom
12/9/2020 2:04,,,Diaper,,Wet,Baby B had a wet diaper (medium),,Dad
12/9/2020 1:45,12/9/2020 2:09,19,Nursing,,,"Baby B nursed (10m left, 9m right)",,Mom
12/8/2020 22:53,12/9/2020 1:45,172,Sleep,,,Baby B slept (2h52m),,Mom
12/8/2020 22:42,,,Medicine,,(null),Tylenol,,Dad
12/8/2020 22:42,,,Diaper,,Wet,Baby B had a wet diaper (medium),,Dad
12/8/2020 22:22,12/8/2020 22:51,24,Nursing,,,"Baby B nursed (14m right, 9m left)",,Mom
12/8/2020 19:50,12/8/2020 22:22,152,Sleep,,,Baby B slept (2h32m),,Mom
12/8/2020 19:41,,,Pumping,4.25,oz,4.25 oz Expressed,,Mom
12/8/2020 19:20,,,Diaper,,Poopy+Wet,Baby B had a poopy and wet diaper (medium),,Mom
12/8/2020 19:02,,,Bottle,4,Milk,Baby B drank 4 oz of milk,,Mom
12/8/2020 19:00,,,Diaper,,Wet,Baby B had a wet diaper (medium),,Mom
12/8/2020 18:30,,,Medicine,,(null),Tylenol,,Mom
12/8/2020 17:13,12/8/2020 17:43,30,Sleep,,,Baby B slept (30m),,Mom
12/8/2020 16:13,,,Diaper,,Poopy+Wet,Baby B had a poopy and wet diaper (medium),,Dad
12/8/2020 15:42,12/8/2020 16:01,20,Nursing,,,"Baby B nursed (12m right, 7m left)",,Dad
12/8/2020 14:37,12/8/2020 15:32,55,Sleep,,,Baby B slept (55m),,Mom
12/8/2020 14:20,,,Diaper,,Poopy+Wet,Baby B had a poopy and wet diaper (medium),,Mom
12/8/2020 13:32,,,Diaper,,Poopy+Wet,Baby B had a poopy and wet diaper (medium),,Mom
12/8/2020 13:10,,,Pumping,2,oz,2 oz Expressed,,Mom
12/8/2020 12:53,,,Bottle,1,Milk,Baby B drank 1 oz of milk,,Mom
12/8/2020 12:53,12/8/2020 13:07,13,Nursing,,,Baby B nursed (13m left),,Mom
12/8/2020 12:50,,,Medicine,,(null),Tylenol,,Mom
12/8/2020 11:29,12/8/2020 12:42,73,Sleep,,,Baby B slept (1h13m),,Mom
12/8/2020 10:37,,,Diaper,,Poopy+Wet,"Baby B had a poopy and wet diaper (leak, large)",,Mom
12/8/2020 10:03,12/8/2020 10:24,21,Nursing,,,"Baby B nursed (13m right, 8m left)",,Mom
12/8/2020 9:00,12/8/2020 10:00,60,Sleep,,,Baby B slept (1h),,Mom
12/8/2020 8:30,,,Pumping,3.5,oz,3.5 oz Expressed,,Mom
12/8/2020 7:50,,,Medicine,,(null),Tylenol,,Dad
12/8/2020 7:44,,,Diaper,,Wet,Baby B had a wet diaper,,Dad
12/8/2020 7:10,12/8/2020 7:25,15,Bottle,3,Milk,Baby B drank 3 oz of milk (15m),,Dad
12/8/2020 4:35,12/8/2020 7:05,150,Sleep,,,Baby B slept (2h30m),,Dad
12/8/2020 4:46,,,Pumping,6,oz,6 oz Expressed,,Mom
12/8/2020 4:10,,,Bottle,4,Milk,Baby B drank 4 oz of milk,,Mom
12/8/2020 4:05,,,Diaper,,Wet,Baby B had a wet diaper,,Mom
12/7/2020 23:38,12/8/2020 4:01,263,Sleep,,,Baby B slept (4h23m),,Mom
12/7/2020 23:19,12/7/2020 23:37,18,Sleep,,,Baby B slept (18m),,Mom
12/7/2020 23:19,,,Diaper,,Wet,Baby B had a wet diaper,,Dad
12/7/2020 22:58,,,Pumping,3,oz,3 oz Expressed,,Mom
12/7/2020 22:40,,,Bottle,4,Milk,Baby B drank 4 oz of milk,,Dad
12/7/2020 19:12,12/7/2020 22:35,203,Sleep,,,Baby B slept (3h23m),,Dad
12/7/2020 19:50,,,Pumping,3.5,oz,3.5 oz Expressed,,Mom
12/7/2020 18:50,,,Bottle,3.2,Milk,Baby B drank 3.25 oz of milk,,Mom
12/7/2020 18:45,,,Medicine,,(null),Tylenol,,Mom
12/7/2020 18:44,,,Diaper,,Wet,Baby B had a wet diaper,,Mom
12/7/2020 16:49,12/7/2020 17:25,36,Sleep,,,Baby B slept (36m),,Mom
12/7/2020 16:30,,,Pumping,5.5,oz,5.5 oz Expressed,,Mom
12/7/2020 16:24,,,Diaper,,Poopy+Wet,Baby B had a poopy and wet diaper,,Mom
12/7/2020 16:00,,,Bottle,4,Milk,Baby B drank 4 oz of milk,,Mom
12/7/2020 13:10,,,Bottle,4,Milk,Baby B drank 4 oz of milk,,Mom
12/7/2020 12:20,,,Pumping,4.5,oz,4.5 oz Expressed,,Mom
12/7/2020 11:00,12/7/2020 11:24,24,Bottle,3,Milk,Baby B drank 3 oz of milk (24m),,Dad
12/7/2020 9:00,,,Pumping,4.25,oz,4.25 oz Expressed,,Dad
12/7/2020 8:00,12/7/2020 8:20,19,Bottle,3.5,Milk,Baby B drank 3.5 oz of milk (19m),,Dad
12/7/2020 4:40,,,Bottle,3.5,Milk,Baby B drank 3.5 oz of milk,Big spit up,Mom
12/7/2020 3:30,,,Pumping,7,oz,7 oz Expressed,,Mom
12/7/2020 1:30,,,Bottle,3.5,Milk,Baby B drank 3.5 oz of milk,,Mom
12/6/2020 22:30,,,Bottle,2.5,Milk,Baby B drank 2.5 oz of milk,,Dad
12/6/2020 21:40,,,Pumping,4.5,oz,4.5 oz Expressed,,Mom
12/6/2020 21:37,,,Bottle,1,Milk,Baby B drank 1 oz of milk,,Dad
12/6/2020 20:12,,,Weight,11.09,lbs,Baby B's weight: 11.09 lbs,,Mom
12/6/2020 19:25,,,Bottle,4,Milk,Baby B drank 4 oz of milk,,Mom
12/6/2020 18:25,,,Pumping,4.5,oz,4.5 oz Expressed,,Mom
12/6/2020 16:35,,,Bottle,4,Milk,Baby B drank 4 oz of milk,,Mom
12/6/2020 15:00,,,Pumping,4,oz,4 oz Expressed,,Mom
12/6/2020 14:00,,,Bottle,3.8,Milk,Baby B drank 3.75 oz of milk,,Dad
12/6/2020 12:00,,,Bottle,3.5,Milk,Baby B drank 3.5 oz of milk,,Mom
12/6/2020 11:15,,,Pumping,3.5,oz,3.5 oz Expressed,,Mom
12/6/2020 9:50,12/6/2020 10:01,11,Bottle,3,Milk,Baby B drank 3 oz of milk (11m),,Dad
12/6/2020 8:20,,,Pumping,6,oz,6 oz Expressed,,Mom
12/6/2020 3:50,,,Pumping,4.5,oz,4.5 oz Expressed,,Mom
12/5/2020 23:05,,,Pumping,134,ml,134 ml Expressed,,Mom
12/5/2020 19:15,,,Pumping,130,ml,130 ml Expressed,,Mom
12/5/2020 16:10,,,Pumping,135,ml,135 ml Expressed,,Mom
12/5/2020 12:12,,,Pumping,122,ml,122 ml Expressed,,Mom
12/5/2020 8:40,,,Pumping,125,ml,125 ml Expressed,,Mom
12/5/2020 5:00,,,Pumping,118,ml,118 ml Expressed,,Mom
12/5/2020 1:40,,,Pumping,135,ml,135 ml Expressed,,Mom
12/4/2020 21:40,,,Pumping,3.75,oz,3.75 oz Expressed,,Mom
12/4/2020 20:11,,,Weight,11.05,lbs,Baby B's weight: 5.02 kg,,Mom
12/4/2020 17:58,,,Pumping,3.5,oz,3.5 oz Expressed,,Mom
12/4/2020 14:10,,,Pumping,4,oz,4 oz Expressed,,Mom
12/4/2020 10:45,,,Pumping,6,oz,6 oz Expressed,,Mom
12/4/2020 7:00,,,Pumping,3.5,oz,3.5 oz Expressed,,Mom
12/4/2020 4:05,,,Pumping,4.5,oz,4.5 oz Expressed,,Mom
12/4/2020 3:45,,,Bottle,1.5,Milk,Baby B drank 1.5 oz of milk,,Mom
12/4/2020 1:30,,,Bottle,1.5,Milk,Baby B drank 1.5 oz of milk,,Mom
12/3/2020 23:50,,,Pumping,4.5,oz,4.5 oz Expressed,,Mom
12/3/2020 22:20,,,Bottle,2,Milk,Baby B drank 2 oz of milk,,Mom
12/3/2020 20:00,,,Pumping,3.5,oz,3.5 oz Expressed,,Mom
12/3/2020 19:35,,,Bottle,2,Milk,Baby B drank 2 oz of milk,,Mom
12/3/2020 17:05,,,Pumping,4.5,oz,4.5 oz Expressed,,Mom
12/3/2020 16:30,,,Bottle,4,Milk,Baby B drank 4 oz of milk,,Mom
12/3/2020 13:45,,,Bottle,1.5,Milk,Baby B drank 1.5 oz of milk,,Mom
12/3/2020 13:45,,,Pumping,4,oz,4 oz Expressed,,Mom
12/3/2020 12:45,,,Bottle,2.5,Milk,Baby B drank 2.5 oz of milk,,Mom
12/3/2020 10:45,,,Pumping,3.5,oz,3.5 oz Expressed,,Mom
